App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceTryCatchWithAssertThrows
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.adaptors.VariantMongoDBAdaptorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,16.0,3.0,7.0,3.0,0.0,0.0,-229,56,-6,41,3,1,87.54,403,65,10,632,308,15,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.variant.adaptors.VariantDBAdaptorTest.java,98,42,30,0,0,0,13,70,0,15,0,1,0,0,,,13,15,1,0,70,0,1250.0,98.0,205.0,845.0,212.0,0.17,2149,304,13,161,3,2,96.11,3773,313,23,1624,176,10,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.variant.stats.VariantStatisticsManagerTest.java,6,1,0,0,0,0,2,0,0,0,0,0,0,0,,,1,1,1,0,2,0,106.0,6.0,18.0,83.0,5.0,0.05,204,176,7,31,2,0,89.85,299,176,10,95,17,3,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-hadoop.opencga-storage-hadoop-core.src.test.java.org.opencb.opencga.storage.hadoop.variant.VariantHadoopDBWriterTest.java,17,1,1,0,0,0,2,2,0,1,1,1,0,0,0.0,0.0,0,0,0,0,2,0,274.0,20.0,54.0,236.0,7.0,0.03,478,289,37,13,2,1,97.53,563,289,43,85,41,7,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.converters.DocumentToVariantConverterTest.java,6,2,0,0,0,0,0,3,0,0,0,0,0,0,1.0,6.0,0,0,0,0,5,0,90.0,6.0,7.0,72.0,7.0,0.08,36,16,1,30,3,1,87.6,272,62,9,236,58,8,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-hadoop.opencga-storage-hadoop-core.src.test.java.org.opencb.opencga.storage.hadoop.variant.gaps.FillGapsTaskTest.java,8,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.0,0,1,0,0,2,0,135.0,8.0,29.0,111.0,4.0,0.03,233,137,29,8,1,0,100.0,270,137,34,37,19,5,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.managers.ClinicalAnalysisManagerTest.java,9,4,0,0,0,0,4,4,0,0,0,0,0,0,4.0,12.0,0,0,0,0,4,0,81.0,9.0,22.0,105.0,22.0,0.27,188,131,21,9,1,0,100.0,243,131,27,55,16,6,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.variant.VariantStorageEngineTest.java,20,7,5,0,0,0,12,0,0,2,0,2,0,0,9.0,57.0,2,3,2,0,12,0,415.0,20.0,65.0,354.0,74.0,0.18,771,275,7,117,4,1,88.35,1905,275,16,1134,168,10,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.managers.FamilyManagerTest.java,15,2,2,0,0,0,11,11,0,0,0,0,0,0,0.0,10.0,1,6,0,0,11,0,196.0,15.0,37.0,161.0,16.0,0.08,477,154,24,20,3,2,98.13,799,190,40,322,120,16,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.db.mongodb.SampleMongoDBAdaptorTest.java,16,8,1,0,0,0,11,11,0,0,0,0,0,0,6.0,22.0,5,2,2,0,11,0,202.0,16.0,33.0,159.0,29.0,0.14,387,121,6,64,3,1,80.77,945,121,15,558,56,9,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.managers.FileManagerTest.java,63,33,12,0,0,2,52,45,17,7,1,1,0,0,38.0,214.0,15,13,0,17,53,0,1017.0,63.0,171.0,756.0,225.0,0.22,1642,1108,26,63,4,3,98.36,2466,1108,39,824,322,13,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-server.src.test.java.org.opencb.opencga.server.rest.IndividualWSServerTest.java,10,5,1,0,0,0,6,6,0,0,0,0,0,0,0.0,0.0,0,1,0,0,6,0,108.0,10.0,24.0,126.0,18.0,0.17,274,123,14,19,3,0,53.59,332,123,17,58,16,3,False
