index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,SplitClass,isSplitClass
30,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoEdgeCollectionTest.java,255,25,35,245,0.34,87,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
31,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoGraphTest.java,270,21,30,301,0.29,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoSearchTest.java,546,39,42,442,0.14,75,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoVertexCollectionTest.java,254,26,35,258,0.32,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoViewTest.java,51,7,8,46,0.24,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
35,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/PackageVersionTest.java,13,2,2,25,0.15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/internal/QueueTimeMetricsImplTest.java,36,6,8,17,0.14,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
37,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/internal/HostHandlerTest.java,114,14,22,35,0.22,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/util/UnicodeUtilsTest.java,21,4,6,8,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoCollectionTest.java,2126,183,263,2047,0.35,752,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,arangodb/arangodb-java-driver,fff8e63d3f243d6b52b01b690632d49afada4edc,com/arangodb/ArangoCursorTest.java,38,11,14,15,0.08,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
